"","t5"
"1","Run4_129497354620269"
"2","Run4_156463306534126"
"3","Run4_166264181472549"
"4","Run4_169572486232813"
"5","Run4_191576437020893"
"6","Run4_192806963338021"
"7","Run4_196043577681646"
"8","Run4_204762108250420"
"9","Run4_226970295285555"
"10","Run4_227921658333916"
"11","Run4_239946733611812"
"12","Run5_121812477758820"
"13","Run5_125197033039598"
"14","Run5_135150517053228"
"15","Run5_161864274307380"
"16","Run5_165327850855323"
"17","Run5_165945567006005"
"18","Run5_169158184127220"
"19","Run5_170660079779035"
"20","Run5_226953411389291"
"21","Run5_236082083314411"
"22","Run4_226829515478876"
"23","Run4_170343432875308"
"24","Run5_200899053663974"
"25","Run4_236288376227612"
"26","Run4_200511163681141"
"27","Run4_231270792747430"
"28","Run4_165858441062691"
"29","Run4_231760525679924"
"30","Run4_204763032664942"
"31","Run4_155972606778084"
"32","Run5_170327461289244"
"33","Run4_204359620810590"
"34","Run4_230652470581485"
"35","Run4_200426619104116"
"36","Run4_192806963592092"
"37","Run4_170268017453342"
"38","Run4_231900112414574"
"39","Run4_199934596467430"
"40","Run4_200562837773531"
"41","Run4_239596318452059"
"42","Run4_196174352137451"
"43","Run5_130144701438875"
"44","Run4_192317739947763"
"45","Run5_161883152664885"
"46","Run5_240154817812763"
"47","Run5_126364056237940"
"48","Run4_130736333471020"
"49","Run4_235533432379118"
"50","Run4_129565671701293"
"51","Run4_227846630001518"
"52","Run4_169151741151469"
"53","Run4_240136832597235"
"54","Run4_231754904038621"
"55","Run4_131234294025451"
"56","Run4_230809083788582"
"57","Run4_199934577105764"
"58","Run5_240094668876659"
"59","Run5_199934550362525"
"60","Run4_170276741830507"
"61","Run4_170180373048603"
"62","Run4_126707819833054"
"63","Run4_226283280611756"
"64","Run5_165860320360693"
"65","Run4_227364224809308"
"66","Run4_165164925213403"
"67","Run4_231890226890651"
"68","Run5_240094668835741"
"69","Run4_156463352985446"
"70","Run5_162090699345309"
"71","Run4_157140463074525"
"72","Run4_130693115308388"
"73","Run5_240001494183150"
"74","Run4_121202296407845"
"75","Run4_192747102223796"
"76","Run5_192747056314284"
"77","Run4_234992266496372"
"78","Run4_170877934037926"
"79","Run4_227973439056606"
"80","Run5_241098873498467"
"81","Run5_200511195371251"
"82","Run4_197256787159403"
"83","Run4_161411807275763"
"84","Run4_230741411031971"
"85","Run4_235198513634077"
"86","Run4_169158171053486"
"87","Run4_191708928822198"
"88","Run4_239448276004083"
"89","Run4_227357125994779"
"90","Run4_192718870533934"
