"","t4"
"1","Run4_126886713386862"
"2","Run4_130057606915939"
"3","Run4_133829902874925"
"4","Run4_157613970647844"
"5","Run4_196163864475485"
"6","Run4_204403356948907"
"7","Run4_231280295401270"
"8","Run4_231280310074741"
"9","Run4_235678490908891"
"10","Run4_235697683417844"
"11","Run4_240001494408486"
"12","Run5_126886713416990"
"13","Run5_134531774106534"
"14","Run5_157613955956011"
"15","Run5_160440071702940"
"16","Run5_169022462749603"
"17","Run5_197213599750044"
"18","Run5_205510773992812"
"19","Run5_227516844984628"
"20","Run5_231692907800427"
"21","Run5_232327507728678"
"22","Run5_235122054879964"
"23","Run4_230732701756837"
"24","Run5_160996525231478"
"25","Run5_165860320406308"
"26","Run5_170137140189547"
"27","Run5_166290863569707"
"28","Run4_135150498626486"
"29","Run5_200967535908581"
"30","Run4_199962360724702"
"31","Run5_239477254471070"
"32","Run5_232318630480750"
"33","Run4_129565698677470"
"34","Run4_129663530646894"
"35","Run4_239596318186406"
"36","Run5_227844214340460"
"37","Run4_226958752541091"
"38","Run5_131097901611291"
"39","Run5_160910657575723"
"40","Run4_161889641978219"
"41","Run5_157536929077979"
"42","Run4_226205924964702"
"43","Run4_166264200448795"
"44","Run5_191080758196467"
"45","Run5_239458061268844"
"46","Run5_234992235597163"
"47","Run5_201595540363172"
"48","Run5_169174308408606"
"49","Run4_134377538219363"
"50","Run5_227516876250396"
"51","Run5_239448263378870"
"52","Run5_227981806484195"
"53","Run4_235214351259421"
"54","Run4_200570519276955"
"55","Run4_235122036431276"
"56","Run4_130754452543710"
"57","Run4_235548433927395"
"58","Run4_126364087900021"
"59","Run4_134530815449317"
"60","Run4_226901469313437"
"61","Run5_226901468854118"
"62","Run5_126836668226926"
"63","Run5_130675129636790"
"64","Run4_161960508214004"
"65","Run5_122282776848630"
"66","Run5_160440071605166"
"67","Run4_126765621271260"
"68","Run4_236768101816741"
"69","Run4_126680976217949"
"70","Run5_122282776874270"
"71","Run4_227903404136812"
"72","Run5_169794765737372"
"73","Run5_230816707177379"
"74","Run5_227284928916381"
"75","Run4_157613970578164"
"76","Run5_170181044099822"
"77","Run5_231711851042724"
"78","Run4_236082114522339"
"79","Run5_197060157730102"
"80","Run4_131234312154540"
"81","Run4_231291315932590"
"82","Run4_155971413489590"
"83","Run4_133974617123676"
"84","Run5_134539660647150"
"85","Run4_205381641819869"
"86","Run4_235533386607836"
"87","Run4_130134915902195"
"88","Run5_226883187948253"
"89","Run5_226874778041270"
"90","Run4_122428824599908"
"91","Run5_226953398700339"
"92","Run5_129497382209436"
"93","Run5_197206037674717"
"94","Run4_235199318669100"
"95","Run4_232450553724148"
"96","Run5_205527671486381"
"97","Run4_121202296712412"
"98","Run5_230800378678062"
"99","Run4_126836669073780"
"100","Run5_161883198962589"
"101","Run4_227357125986725"
"102","Run4_160990095927006"
"103","Run4_200967489997038"
"104","Run5_131097901558494"
"105","Run5_227921645386163"
"106","Run5_201114485475756"
"107","Run5_195967073605980"
"108","Run4_204825356323118"
"109","Run5_133854492289318"
"110","Run4_134592152354101"
"111","Run5_231822829995765"
"112","Run4_200974094001899"
"113","Run5_204765475519403"
"114","Run5_236846721915189"
"115","Run4_170265211464501"
"116","Run4_192255443986782"
"117","Run4_129582985497013"
"118","Run5_155971444992926"
"119","Run4_160447829068124"
"120","Run5_157004353418995"
"121","Run5_232321033853659"
"122","Run4_205510774745395"
"123","Run5_227284901345125"
"124","Run4_121896114436398"
"125","Run4_236634018002741"
"126","Run4_130126447786731"
"127","Run5_240094641601390"
"128","Run4_204825356024622"
"129","Run4_134522332629341"
"130","Run4_200570520164645"
"131","Run4_192747070778206"
"132","Run4_236176853810421"
"133","Run4_195546194598117"
"134","Run5_129582985832693"
"135","Run4_126835192150451"
"136","Run4_231890207586150"
"137","Run4_162078857030885"
"138","Run4_126835160956259"
"139","Run5_195606445677876"
"140","Run5_130142286011806"
"141","Run5_121826167613876"
"142","Run4_133895267445470"
"143","Run4_170137155393252"
"144","Run5_226283262430126"
"145","Run5_126885746359029"
"146","Run5_192653655202716"
"147","Run5_121276833385781"
"148","Run5_195562319787948"
"149","Run4_239382662691758"
"150","Run4_205527685446061"
"151","Run5_227516844763356"
"152","Run4_134592171981109"
"153","Run4_236639608782067"
"154","Run4_130736332883894"
"155","Run5_196180748688101"
"156","Run4_160928731187629"
"157","Run4_226394650633955"
"158","Run4_232330326660853"
"159","Run5_227305168426859"
"160","Run4_161889623076126"
"161","Run4_235763078969779"
"162","Run5_157536960305052"
