"","t2"
"1","Run4_130142298659099"
"2","Run4_155911430977836"
"3","Run4_236650105264556"
"4","Run5_121276786923948"
"5","Run5_121319737121187"
"6","Run5_121742671894326"
"7","Run5_121896083017067"
"8","Run5_156515920426790"
"9","Run5_165741421874550"
"10","Run5_166351410154397"
"11","Run5_169723777145627"
"12","Run5_197256771755294"
"13","Run5_205870209919347"
"14","Run5_226806174202228"
"15","Run5_226953384323893"
"16","Run5_239596291184941"
"17","Run4_204359620552548"
"18","Run4_170276741343972"
"19","Run4_235007414484187"
"20","Run5_226205971995877"
"21","Run5_131175256832285"
"22","Run5_191553860978972"
"23","Run4_227973438560036"
"24","Run5_204756751867293"
"25","Run4_126218818710238"
"26","Run4_121742671661982"
"27","Run5_160990068329317"
"28","Run4_201670702021045"
"29","Run4_130736333471003"
"30","Run4_170268049172398"
"31","Run5_201114458372918"
"32","Run4_165164911094003"
"33","Run5_236169981277996"
"34","Run5_230809103154419"
"35","Run4_170258488281828"
"36","Run5_169768846837492"
"37","Run5_130531382381404"
"38","Run5_200562869747052"
"39","Run5_121896095594741"
"40","Run4_161462648487205"
"41","Run4_130057607240948"
"42","Run4_192121064778654"
"43","Run5_135081932307366"
"44","Run4_166351422549219"
"45","Run5_164753445702515"
"46","Run4_228042051639012"
"47","Run5_204403356874997"
"48","Run4_235129954749341"
"49","Run4_239407461947620"
"50","Run5_192678083644829"
"51","Run5_192747102420395"
"52","Run4_191645443803486"
"53","Run4_120797945018284"
"54","Run5_240498414937837"
"55","Run5_161462663689971"
"56","Run4_157140481390493"
"57","Run5_226953398269812"
"58","Run4_232327508286387"
"59","Run4_239448275970990"
"60","Run5_130142316719326"
"61","Run4_204763059935523"
"62","Run4_235559336233702"
"63","Run4_192859711334757"
"64","Run4_239448248936886"
"65","Run5_130185489499868"
"66","Run4_200562869397916"
"67","Run4_240154798308595"
"68","Run4_170265230849779"
"69","Run5_231692926573411"
"70","Run4_232311355557748"
"71","Run5_129978418448620"
"72","Run5_197135439182046"
"73","Run4_130142298127654"
"74","Run4_196180748389739"
"75","Run4_197185798555446"
"76","Run5_195562319858547"
"77","Run4_235069826000611"
"78","Run5_236650124490590"
"79","Run4_235199346129845"
"80","Run5_235678522329899"
"81","Run5_236167208548133"
"82","Run5_230732686616430"
"83","Run4_121812465170790"
"84","Run4_170327475927477"
"85","Run4_155972634078110"
"86","Run4_241098904988574"
"87","Run5_227853877819827"
"88","Run5_121955407219108"
"89","Run5_236177511832499"
"90","Run4_195958633326307"
"91","Run4_226265800857309"
"92","Run5_227973438495990"
"93","Run4_201670656740573"
"94","Run4_204765463174555"
"95","Run4_235626713532342"
"96","Run5_204959708006827"
"97","Run4_165385745418163"
"98","Run5_121319783321011"
"99","Run4_192325908097756"
"100","Run5_227846649498395"
"101","Run5_231711851628380"
"102","Run5_239407446480605"
"103","Run5_165302261693363"
"104","Run5_239448248933108"
"105","Run5_130144701369189"
"106","Run5_226949787674870"
"107","Run4_236633999137206"
"108","Run4_160928730367731"
"109","Run5_239587881762227"
"110","Run5_241114589357942"
"111","Run5_169156963424675"
"112","Run5_240136800360374"
"113","Run5_235601986776285"
"114","Run4_165945548589915"
"115","Run4_226283261941494"
"116","Run4_240490764462491"
"117","Run5_156453536717555"
"118","Run5_195547402488691"
"119","Run5_120703455284661"
"120","Run4_227844187442397"
"121","Run5_226394662987636"
"122","Run5_170180358387485"
"123","Run4_227975317540203"
"124","Run5_227516857597294"
"125","Run4_230807875762028"
"126","Run4_164698921000299"
"127","Run4_235533401209062"
"128","Run5_239587850311396"
"129","Run4_130754465351916"
"130","Run5_192653655693100"
"131","Run5_135081913084340"
"132","Run5_122293380103390"
"133","Run5_125719977089261"
"134","Run4_126776224631582"
"135","Run5_165188413545701"
"136","Run5_230749746977195"
"137","Run4_227363580922669"
"138","Run5_226949759723830"
"139","Run5_126707788369181"
"140","Run5_231340558632877"
"141","Run5_230741456637214"
"142","Run5_197264047237411"
"143","Run4_236650123947235"
"144","Run4_160928758380782"
"145","Run5_231917070280429"
"146","Run4_235199318879141"
"147","Run5_205922701096750"
"148","Run4_166416908205293"
"149","Run5_226394635692277"
"150","Run5_230654437378996"
"151","Run5_205381688060779"
"152","Run5_196113282821429"
"153","Run4_157072011967413"
"154","Run5_157684166474486"
"155","Run4_166400431123379"
"156","Run5_120726924977910"
"157","Run4_155972621262251"
"158","Run4_161478635801460"
"159","Run5_192745875824029"
"160","Run5_239408816277428"
"161","Run4_204959689431340"
"162","Run5_169793557511413"
"163","Run4_235069813181678"
"164","Run4_130144686946166"
"165","Run5_192745848129885"
"166","Run5_201465586202923"
"167","Run5_131310502198700"
"168","Run5_162078870100196"
"169","Run4_201474323212139"
"170","Run4_235000971513075"
"171","Run4_196019733085555"
"172","Run5_227991451220918"
"173","Run5_239458093546284"
"174","Run5_235697715238645"
"175","Run5_195623388559670"
"176","Run5_170327461710572"
"177","Run4_165325568949149"
"178","Run5_195967089073564"
"179","Run5_160996511074155"
"180","Run5_131089728490724"
"181","Run5_235214378003372"
"182","Run4_126707819506413"
"183","Run5_126886700497331"
"184","Run4_134531742587125"
"185","Run4_170198358251748"
"186","Run4_231890207533877"
"187","Run5_191647304015075"
"188","Run5_232328281942245"
"189","Run4_226901487896435"
"190","Run4_125239714305827"
"191","Run4_169723777735083"
"192","Run4_156515947727276"
"193","Run5_205870194965276"
"194","Run4_197213581699892"
"195","Run5_241114589051630"
"196","Run4_131234312894774"
"197","Run5_131097900824877"
"198","Run5_130736364939547"
"199","Run5_231891388447148"
"200","Run4_239475387980214"
"201","Run5_204765462948636"
"202","Run5_165860319841012"
"203","Run5_240617715883244"
"204","Run4_162090668419428"
"205","Run5_195426056628588"
"206","Run5_226283280783795"
"207","Run5_134531773294827"
"208","Run4_204359601874859"
"209","Run5_240634613909861"
"210","Run5_196113282746270"
"211","Run4_232302646515444"
"212","Run5_191760421734701"
"213","Run4_129457538329326"
"214","Run5_131309590141149"
"215","Run4_192180134984044"
"216","Run4_135149155899102"
"217","Run5_191708882168230"
"218","Run5_230800378227622"
"219","Run4_232330326096222"
"220","Run5_135150485751668"
"221","Run5_196527728802213"
"222","Run4_121965741528803"
"223","Run4_204360513969572"
"224","Run4_230732732423086"
"225","Run4_130624798276324"
"226","Run5_161890983963060"
"227","Run5_240482277252390"
"228","Run4_239391521495341"
"229","Run4_204763060394286"
"230","Run5_197256787216805"
"231","Run5_156515920468213"
"232","Run4_165385744804644"
"233","Run5_195967101593454"
"234","Run5_232449748355932"
"235","Run4_160928744992052"
"236","Run4_230592321801117"
"237","Run5_191553860713379"
"238","Run4_227930535483109"
"239","Run5_166288090655461"
"240","Run4_200561495795932"
"241","Run4_126707800401843"
"242","Run4_205381656537828"
"243","Run5_192101783386349"
"244","Run4_232318649916766"
"245","Run5_122308412197221"
"246","Run4_134936708167980"
"247","Run4_125042414733164"
"248","Run4_235763079474548"
"249","Run5_201595508942708"
"250","Run5_130529100716782"
"251","Run5_191708882659611"
"252","Run4_170265199196588"
"253","Run4_120797898946870"
"254","Run4_131097928022955"
"255","Run4_191210578200421"
"256","Run4_126132159462771"
"257","Run5_236768100990253"
"258","Run4_226874732506019"
"259","Run5_230800346954166"
"260","Run4_131242050939755"
"261","Run4_156463306828011"
"262","Run5_227305195793196"
"263","Run5_235695836354861"
"264","Run5_161548575394725"
"265","Run4_130142316947294"
"266","Run5_192315277915955"
"267","Run4_196163852160430"
"268","Run4_164753426303725"
"269","Run5_197264019737437"
"270","Run4_236639623530278"
"271","Run5_164769505164701"
"272","Run5_231760540657515"
"273","Run5_197213599947573"
"274","Run4_235199332796637"
"275","Run5_126836637060515"
"276","Run5_239468543363316"
"277","Run5_131309608286054"
"278","Run4_192859665184630"
"279","Run4_227991451036963"
"280","Run4_165945548167606"
"281","Run5_160447874328294"
"282","Run4_164818809441715"
"283","Run5_231770082461547"
"284","Run5_169579734755611"
"285","Run5_226970322222389"
"286","Run4_240498414410590"
"287","Run5_165945520642284"
"288","Run4_135014255343900"
"289","Run4_204213438037211"
"290","Run4_232327462206683"
"291","Run4_121965773241694"
"292","Run5_121955406957492"
"293","Run5_170327476157284"
"294","Run5_239458093263795"
"295","Run4_131234280914166"
"296","Run5_204825309337963"
"297","Run4_191760436250853"
"298","Run5_170798580418413"
"299","Run4_204213426011356"
"300","Run5_130126448114988"
"301","Run5_169158202808677"
"302","Run4_204360540904307"
"303","Run4_135081913600813"
"304","Run4_205510759631086"
"305","Run5_201595494283171"
"306","Run5_192678095603557"
"307","Run5_195958645050611"
"308","Run5_239391474670813"
"309","Run5_157684197702566"
"310","Run4_195606458297180"
"311","Run5_191647290907571"
"312","Run4_133895281851236"
"313","Run4_204427131571635"
"314","Run4_191647276193582"
"315","Run4_195426042109174"
"316","Run5_126227569404333"
"317","Run5_197060170008990"
"318","Run4_192121092557547"
"319","Run4_196527701277405"
"320","Run5_195625773387165"
"321","Run5_235737680669475"
"322","Run4_126707773105894"
"323","Run4_240001494992669"
"324","Run5_235678490913572"
"325","Run4_191708897331555"
"326","Run4_166400431373164"
"327","Run5_165385713138932"
"328","Run5_160440070850909"
"329","Run5_134600596020581"
"330","Run4_170327476169508"
"331","Run4_200426592069939"
"332","Run5_165188413082030"
"333","Run4_122293367564598"
"334","Run5_134041208282342"
"335","Run5_131293483227549"
"336","Run4_195615840460084"
"337","Run4_231890207794995"
"338","Run5_155971426310875"
"339","Run5_131234280957724"
"340","Run5_196043592910699"
"341","Run5_195623370049883"
"342","Run5_227846617222428"
"343","Run4_197060157631339"
"344","Run5_156024161557286"
"345","Run4_170137155157238"
"346","Run4_197060189186996"
"347","Run5_195958617892636"
"348","Run4_120703436057910"
"349","Run5_200441237006260"
"350","Run5_231760540621548"
"351","Run4_135149156194140"
"352","Run5_200994225872100"
"353","Run5_170327460919661"
"354","Run4_240634645822899"
"355","Run5_235559336171301"
"356","Run4_126834252630899"
"357","Run4_226953429932837"
"358","Run5_134592125360374"
"359","Run4_169794766224757"
"360","Run5_196638190225763"
"361","Run5_165164957252445"
"362","Run5_169174290291051"
"363","Run4_170198358768860"
"364","Run5_156453554772764"
"365","Run5_122436443553141"
"366","Run5_195562288142755"
"367","Run5_196019701636523"
"368","Run5_169768893692214"
"369","Run5_133854479994206"
"370","Run5_157536960572838"
"371","Run5_227991469870389"
"372","Run4_239932655712989"
"373","Run5_241098905205038"
"374","Run4_131175210441444"
"375","Run5_169727132587886"
"376","Run4_230592310074590"
"377","Run5_236175633364835"
"378","Run4_166469265381213"
"379","Run5_155971444979997"
"380","Run5_120786804751086"
"381","Run5_120864484738990"
"382","Run5_235697669064539"
"383","Run5_120726924413669"
"384","Run5_232450554023270"
"385","Run4_191215678445341"
"386","Run4_191576409230699"
"387","Run5_161462649252574"
"388","Run5_133974590118189"
"389","Run5_199934564223404"
"390","Run4_204765463759213"
