"","t3"
"1","Run4_165325569191140"
"2","Run4_235199318383972"
"3","Run4_236785384245085"
"4","Run5_126294007180148"
"5","Run5_134377538971363"
"6","Run5_135571526531892"
"7","Run5_191553887947621"
"8","Run5_191691434420467"
"9","Run5_192653655456181"
"10","Run5_197135453805292"
"11","Run5_232302631053547"
"12","Run5_230654437407148"
"13","Run4_204959676591451"
"14","Run4_231897711459611"
"15","Run4_169793557744547"
"16","Run5_195615826336542"
"17","Run5_126706324227893"
"18","Run5_232438996584229"
"19","Run4_235070737542556"
"20","Run4_155972606847205"
"21","Run5_231754888832941"
"22","Run4_232311355198876"
"23","Run5_234992220662134"
"24","Run4_169587518682979"
"25","Run4_195546194013029"
"26","Run5_204351804716918"
"27","Run5_160928745012469"
"28","Run5_235626694851934"
"29","Run4_192121111173931"
"30","Run4_135014286220019"
"31","Run4_134033672984870"
"32","Run5_204213438008037"
"33","Run5_235129928333171"
"34","Run4_231280295434027"
"35","Run5_227357125896499"
"36","Run4_231692926343918"
"37","Run4_228042051369699"
"38","Run4_239946733313451"
"39","Run5_161340107643740"
"40","Run4_191645412452635"
"41","Run4_204954158971253"
"42","Run5_135150485596390"
"43","Run5_133895294216940"
"44","Run4_160785117853470"
"45","Run5_169794778360734"
"46","Run4_126293994757531"
"47","Run5_195622430165421"
"48","Run5_157071984519540"
"49","Run5_170137168041757"
"50","Run5_227305169041268"
"51","Run5_157562577308382"
"52","Run4_226394635974939"
"53","Run4_226822414818149"
"54","Run4_161548575070061"
"55","Run4_134448003005795"
"56","Run4_241114561763102"
"57","Run4_195562287553262"
"58","Run4_239475375855332"
"59","Run4_200967489445158"
"60","Run4_201474295589302"
"61","Run4_162090681326828"
"62","Run5_162078869346013"
"63","Run4_232450539085086"
"64","Run5_231270780619507"
"65","Run4_126836669073710"
"66","Run4_239407493430701"
"67","Run4_235000990480621"
"68","Run4_155971444759390"
"69","Run4_165738959525661"
"70","Run4_232261722004838"
"71","Run5_192653686848923"
"72","Run4_235214365965046"
"73","Run5_236175664475358"
"74","Run4_160785132837277"
"75","Run4_227363553721636"
"76","Run5_156024146083230"
"77","Run4_160996537888035"
"78","Run4_135064484013917"
"79","Run5_133829930638757"
"80","Run4_235120010054060"
"81","Run4_232328312831222"
"82","Run4_191576424007462"
"83","Run4_125247364970933"
"84","Run5_231890226703132"
"85","Run4_240136785906405"
"86","Run4_195967073807212"
"87","Run5_134522378512758"
"88","Run5_192747056024500"
"89","Run4_201595494029020"
"90","Run4_120772961168292"
"91","Run4_126835160693155"
"92","Run5_155971445180771"
"93","Run4_164761064061293"
"94","Run5_232261695461677"
"95","Run4_130057594071836"
"96","Run5_231365416705445"
"97","Run5_165945535780662"
