"","t6"
"1","Run4_125197045586333"
"2","Run4_125239714765020"
"3","Run4_126680957369771"
"4","Run4_130736318737710"
"5","Run4_131293471430884"
"6","Run4_160447874644316"
"7","Run4_164698920971171"
"8","Run4_165302229973411"
"9","Run4_169027831458102"
"10","Run4_195562319496997"
"11","Run4_196638189734252"
"12","Run4_200348208621342"
"13","Run4_201523580583195"
"14","Run4_205381688053091"
"15","Run5_120797925600163"
"16","Run5_125042427049836"
"17","Run5_164761064323811"
"18","Run5_204427112859885"
"19","Run5_204911358470427"
"20","Run5_236082114185653"
"21","Run4_236785415678748"
"22","Run4_126218864355163"
"23","Run4_130134889323939"
"24","Run4_239407461779307"
"25","Run5_131242078725939"
"26","Run4_236639655456116"
"27","Run5_192180167232230"
"28","Run5_200348254725862"
"29","Run4_191708882680619"
"30","Run5_162078870125427"
"31","Run5_240154798151523"
"32","Run4_131089728203500"
"33","Run4_230732687100853"
"34","Run4_157072030849387"
"35","Run4_200922541287852"
"36","Run4_204825336600413"
"37","Run4_235129955567971"
"38","Run4_200899066260260"
"39","Run4_164631978335652"
"40","Run4_169793570138844"
"41","Run4_227990483909357"
"42","Run5_235559290001117"
"43","Run4_169727105906971"
"44","Run4_170137186425637"
"45","Run4_130184146962341"
"46","Run4_226949806352228"
"47","Run4_192317739722540"
"48","Run4_201595521559411"
"49","Run5_227973438854958"
"50","Run4_170745952684387"
"51","Run4_126885745838956"
"52","Run4_130761029764851"
"53","Run5_126835160440116"
"54","Run5_191647290898797"
"55","Run4_236846706805478"
"56","Run4_231291328621364"
"57","Run5_204765463239452"
"58","Run5_122436443392756"
"59","Run4_155971426040245"
"60","Run4_170745979386291"
"61","Run4_161411826380003"
"62","Run4_240161259997029"
"63","Run5_232327489472924"
"64","Run5_126227569371059"
"65","Run5_192747056545203"
"66","Run5_201474310552491"
"67","Run4_196715486272436"
"68","Run4_161960476723421"
"69","Run5_122514692065654"
"70","Run4_195625785641204"
"71","Run5_191080789129453"
"72","Run4_204351804488924"
"73","Run5_130184161672030"
"74","Run4_170258487786910"
"75","Run5_126834220907299"
"76","Run4_134540451802414"
"77","Run4_235120022936885"
"78","Run4_161340122941165"
"79","Run5_205527670775142"
"80","Run4_241106374833950"
"81","Run4_126776251931483"
"82","Run4_131310529137381"
"83","Run5_129978391181740"
"84","Run4_235069798542691"
"85","Run4_232328266636124"
"86","Run5_197060157401828"
"87","Run4_121965754366373"
"88","Run4_197135453611955"
"89","Run5_200511176535331"
"90","Run4_126680929782694"
"91","Run5_205922701039973"
"92","Run5_240001540351854"
"93","Run4_226953398245726"
"94","Run5_169174262835045"
"95","Run4_226394635680501"
"96","Run4_201111667068318"
"97","Run4_231280341338357"
"98","Run5_126707788373235"
"99","Run5_205518974642477"
"100","Run5_126132128734622"
"101","Run4_131175256546094"
"102","Run5_196174305679267"
"103","Run5_235626695453492"
"104","Run5_191774112541021"
"105","Run4_125197018315102"
"106","Run5_200967516810099"
"107","Run4_164631946357171"
"108","Run4_231280341314462"
"109","Run4_134522378245870"
"110","Run4_161883152926580"
"111","Run4_200994226129630"
"112","Run4_120726943845302"
"113","Run5_157536961021851"
"114","Run5_155972634593701"
"115","Run4_197135466416878"
"116","Run4_231365403891613"
"117","Run5_169587546642676"
"118","Run4_192678083648228"
"119","Run5_232318603479909"
"120","Run4_235737665362278"
"121","Run4_226394681300715"
"122","Run4_200416660445428"
"123","Run4_226273451949429"
"124","Run4_239407461484389"
"125","Run4_226822433171355"
"126","Run5_197188233320284"
"127","Run4_155888901638876"
"128","Run5_169587533310892"
"129","Run5_200983461354228"
"130","Run5_205511476559262"
"131","Run5_130761041529181"
"132","Run4_170198389897637"
"133","Run4_170198358415277"
"134","Run4_156463321959284"
"135","Run5_197135466191731"
"136","Run4_134447975750454"
"137","Run4_192806917893027"
"138","Run4_231366194064219"
"139","Run4_204213457180382"
"140","Run5_165164957252972"
"141","Run4_241106420656499"
"142","Run4_134936690116531"
"143","Run5_170276772833134"
"144","Run5_227357125893413"
"145","Run4_165232468453294"
"146","Run4_195958664260979"
"147","Run5_133829949283748"
"148","Run4_195625804547821"
"149","Run5_165946238561077"
"150","Run4_205511445342494"
"151","Run5_134522346564318"
"152","Run4_227363580689133"
"153","Run4_232321019234164"
"154","Run4_205449168083300"
"155","Run5_157140450434396"
"156","Run5_195606445518134"
"157","Run5_126227588246438"
"158","Run5_235763033069940"
"159","Run4_204224148462948"
"160","Run4_199962360145780"
"161","Run5_231917038489006"
"162","Run4_200967490005813"
"163","Run4_191691460925726"
"164","Run4_195958617881501"
"165","Run4_240001540865374"
"166","Run4_120726943295348"
"167","Run5_133974589389612"
"168","Run5_200570488606108"
"169","Run5_230741438053622"
"170","Run4_121826168195803"
"171","Run4_169727132322141"
"172","Run4_166290909715892"
"173","Run5_239448276457763"
"174","Run5_192325927491941"
"175","Run5_197185797798310"
"176","Run4_200562869655853"
"177","Run5_134530802575643"
"178","Run4_130194227489708"
"179","Run5_196180748429748"
"180","Run5_169027858549164"
"181","Run5_200994244704102"
"182","Run4_122436443330286"
"183","Run4_126886685359012"
"184","Run4_165302261111670"
"185","Run5_133829902940382"
"186","Run4_165164937825124"
"187","Run4_204403344259317"
"188","Run4_227921658034597"
"189","Run4_169572513827550"
"190","Run4_192745876182949"
"191","Run5_161864228162982"
"192","Run4_192306956384989"
"193","Run4_231291327835357"
"194","Run5_235189011171756"
"195","Run4_164769551531430"
"196","Run4_227305183624565"
"197","Run5_135149155964780"
