"","x"
"Run4_120703408880541",1
"Run4_120703409056541",2
"Run4_120703409580963",3
"Run4_120703423990708",3
"Run4_120703424252854",4
"Run4_120703436053366",1
"Run4_120703436057910",5
"Run4_120703436876077",2
"Run4_120703455025387",4
"Run4_120726911638237",4
"Run4_120726912355038",3
"Run4_120726924974443",3
"Run4_120726924978030",4
"Run4_120726943295348",3
"Run4_120726943845302",3
"Run4_120772961130853",2
"Run4_120772961168292",1
"Run4_120786758780660",2
"Run4_120786786086116",2
"Run4_120786804205803",4
"Run4_120786804401973",4
"Run4_120797898099934",3
"Run4_120797898946870",6
"Run4_120797925428019",2
"Run4_120797944278244",1
"Run4_120797944309486",1
"Run4_120797944462237",2
"Run4_120797944538971",1
"Run4_120797945018284",6
"Run4_120797945084765",2
"Run4_120864497952619",5
"Run4_120864498109163",7
"Run4_121202296155437",1
"Run4_121202296407845",7
"Run4_121202296712412",8
"Run4_121202296875939",2
"Run4_121202311609131",3
"Run4_121202323408629",3
"Run4_121202323971293",3
"Run4_121202324139420",5
"Run4_121276814544302",4
"Run4_121276814768869",2
"Run4_121319782803691",2
"Run4_121338017995180",2
"Run4_121339869292318",3
"Run4_121339869579045",2
"Run4_121339870034742",7
"Run4_121339884197670",2
"Run4_121339897375467",2
"Run4_121339915976030",2
"Run4_121742671661982",6
"Run4_121742672218843",4
"Run4_121742684731182",4
"Run4_121812464876332",4
"Run4_121812465170790",6
"Run4_121812477504803",4
"Run4_121812477659372",4
"Run4_121812478016931",1
"Run4_121812496309539",5
"Run4_121812496627629",4
"Run4_121826140407589",2
"Run4_121826154859894",2
"Run4_121826167679902",3
"Run4_121826168138163",2
"Run4_121826168195803",3
"Run4_121826187070251",4
"Run4_121879156964651",2
"Run4_121896068106075",3
"Run4_121896068373812",4
"Run4_121896095574750",5
"Run4_121896095603508",4
"Run4_121896114436398",5
"Run4_121955406802230",2
"Run4_121955407021878",1
"Run4_121955407285596",2
"Run4_121955419114358",2
"Run4_121955419114862",4
"Run4_121965741528803",6
"Run4_121965753884006",5
"Run4_121965754366373",3
"Run4_121965773241694",6
"Run4_122282776423132",8
"Run4_122282795515302",2
"Run4_122282795519324",2
"Run4_122282795812787",2
"Run4_122282795818213",7
"Run4_122293352294813",2
"Run4_122293366708085",2
"Run4_122293367462116",2
"Run4_122293367564598",1
"Run4_122293398198509",3
"Run4_122293399013212",3
"Run4_122308384450908",5
"Run4_122308399066019",4
"Run4_122308412463406",7
"Run4_122308430620398",8
"Run4_122310412323676",5
"Run4_122310412626206",3
"Run4_122310424910766",4
"Run4_122310444373789",2
"Run4_122428778498790",3
"Run4_122428793175326",1
"Run4_122428793187699",4
"Run4_122428823883116",2
"Run4_122428824140061",2
"Run4_122428824599908",8
"Run4_122436428412653",2
"Run4_122436428609325",1
"Run4_122436443094253",2
"Run4_122436443330286",3
"Run4_122436456212725",4
"Run4_122436474493213",3
"Run4_122436475018661",4
"Run4_122514677619036",2
"Run4_122514692500702",2
"Run4_122514723751852",3
"Run4_125042399558901",2
"Run4_125042400315742",2
"Run4_125042414278451",8
"Run4_125042414733164",6
"Run4_125042426763101",2
"Run4_125042445641635",5
"Run4_125197018315102",3
"Run4_125197033818014",5
"Run4_125197045586333",5
"Run4_125197046212445",4
"Run4_125197046434094",2
"Run4_125239714305827",6
"Run4_125239714765020",5
"Run4_125239745961379",3
"Run4_125239746509676",2
"Run4_125247350487987",1
"Run4_125247350523828",1
"Run4_125247364709155",2
"Run4_125247364970933",1
"Run4_125247377566965",7
"Run4_125677920545627",2
"Run4_125677920769780",7
"Run4_125677920967478",7
"Run4_125677920970611",2
"Run4_125677921254187",4
"Run4_125677921266413",2
"Run4_125677947799403",4
"Run4_125677966585070",1
"Run4_125677967206756",2
"Run4_125719945276334",2
"Run4_125719945333155",6
"Run4_125719976725363",4
"Run4_125719977541037",5
"Run4_125719977548197",5
"Run4_125728252684085",5
"Run4_125728252905323",2
"Run4_125728266829044",2
"Run4_125728267127014",3
"Run4_125728267327389",4
"Run4_125728298232628",3
"Run4_125745298098036",1
"Run4_125745298291501",4
"Run4_125745325263726",7
"Run4_125745343944941",7
"Run4_125745344199091",3
"Run4_126132128005486",2
"Run4_126132128200630",4
"Run4_126132128500452",2
"Run4_126132128800156",7
"Run4_126132141381982",2
"Run4_126132159462771",6
"Run4_126149051926902",4
"Run4_126149052745526",1
"Run4_126149071067430",3
"Run4_126149071162742",4
"Run4_126218818148142",7
"Run4_126218818710238",6
"Run4_126218832627933",2
"Run4_126218845501230",2
"Run4_126218845961141",2
"Run4_126218845964661",2
"Run4_126218864355163",5
"Run4_126218864650676",1
"Run4_126227542817590",2
"Run4_126227542919516",4
"Run4_126227557039341",2
"Run4_126227557046070",1
"Run4_126227557243316",4
"Run4_126227557275374",7
"Run4_126227569366820",4
"Run4_126227569392476",7
"Run4_126227569621427",2
"Run4_126227588246750",2
"Run4_126227588791004",2
"Run4_126227588802285",4
"Run4_126293980141348",1
"Run4_126293980661533",2
"Run4_126293994757531",6
"Run4_126293995272043",7
"Run4_126294007335772",3
"Run4_126294026566566",2
"Run4_126364042279838",7
"Run4_126364069050716",3
"Run4_126364069287782",3
"Run4_126364087696755",7
"Run4_126364087900021",8
"Run4_126364087905005",2
"Run4_126364087905510",2
"Run4_126364088155371",2
"Run4_126680929782694",3
"Run4_126680929789814",4
"Run4_126680944201140",4
"Run4_126680957369771",5
"Run4_126680975730542",4
"Run4_126680975759790",2
"Run4_126680975988467",4
"Run4_126680976217949",8
"Run4_126681601142061",7
"Run4_126681615616421",2
"Run4_126681627872157",2
"Run4_126681646815132",4
"Run4_126681647049453",4
"Run4_126706324032926",4
"Run4_126706324223852",2
"Run4_126706324232987",4
"Run4_126706324233525",3
"Run4_126706343636326",5
"Run4_126707773105894",6
"Run4_126707788531571",1
"Run4_126707800401843",6
"Run4_126707800665315",4
"Run4_126707819506413",6
"Run4_126707819833054",7
"Run4_126765621266222",2
"Run4_126765621271260",8
"Run4_126765648702707",3
"Run4_126765667137964",4
"Run4_126776224102750",1
"Run4_126776224472427",3
"Run4_126776224631582",6
"Run4_126776224967005",2
"Run4_126776238819254",7
"Run4_126776238855982",4
"Run4_126776251899293",2
"Run4_126776251931483",3
"Run4_126776270318502",1
"Run4_126776271099742",5
"Run4_126834220845997",2
"Run4_126834220883372",2
"Run4_126834233760486",3
"Run4_126834234244003",7
"Run4_126834234285342",2
"Run4_126834252307822",2
"Run4_126834252630899",1
"Run4_126834252633822",3
"Run4_126835160693155",1
"Run4_126835160737501",7
"Run4_126835160956259",8
"Run4_126835173481885",4
"Run4_126835173739438",7
"Run4_126835173775662",3
"Run4_126835192150451",8
"Run4_126836622191451",2
"Run4_126836636804846",2
"Run4_126836649679270",2
"Run4_126836650134317",1
"Run4_126836669073710",1
"Run4_126836669073780",8
"Run4_126885745777500",3
"Run4_126885745838956",5
"Run4_126885760485302",2
"Run4_126885760784172",4
"Run4_126885773306787",1
"Run4_126885773822901",4
"Run4_126885773859179",4
"Run4_126885792795486",2
"Run4_126886685359012",3
"Run4_126886685359349",3
"Run4_126886685556019",3
"Run4_126886685825781",3
"Run4_126886700599133",4
"Run4_126886700825827",5
"Run4_126886713125724",3
"Run4_126886713386862",8
"Run4_129457491688822",4
"Run4_129457491929955",3
"Run4_129457506867427",1
"Run4_129457519708470",5
"Run4_129457538058668",3
"Run4_129457538329326",6
"Run4_129457538349940",1
"Run4_129497354620269",7
"Run4_129497354652469",7
"Run4_129497354684213",2
"Run4_129497369303262",7
"Run4_129497369303900",7
"Run4_129497381947316",2
"Run4_129497382115619",5
"Run4_129497382151987",2
"Run4_129497401249067",4
"Run4_129565671210277",4
"Run4_129565671512299",7
"Run4_129565671701293",7
"Run4_129565671745261",3
"Run4_129565671779052",5
"Run4_129565698677470",8
"Run4_129565699234094",4
"Run4_129565717621533",4
"Run4_129582985309044",2
"Run4_129582985497013",8
"Run4_129582985592221",2
"Run4_129582985828700",3
"Run4_129583032002916",2
"Run4_129583032162021",7
"Run4_129663530646894",8
"Run4_129663530821476",2
"Run4_129663530850526",2
"Run4_129663530919645",2
"Run4_129663543921453",1
"Run4_129978390767926",3
"Run4_129978418219877",1
"Run4_130057594071836",1
"Run4_130057606915939",8
"Run4_130057607240948",6
"Run4_130126432922459",3
"Run4_130126433146612",6
"Run4_130126433671915",2
"Run4_130126447786731",8
"Run4_130126448081643",1
"Run4_130126460111589",1
"Run4_130126460635380",2
"Run4_130126479289627",2
"Run4_130126479550812",2
"Run4_130134889323939",5
"Run4_130134889380206",2
"Run4_130134903733660",2
"Run4_130134915861341",5
"Run4_130134915902195",8
"Run4_130134916164899",4
"Run4_130134934768988",4
"Run4_130134935485860",4
"Run4_130142270581557",2
"Run4_130142271298979",2
"Run4_130142286047156",2
"Run4_130142297803558",2
"Run4_130142298069875",2
"Run4_130142298126126",2
"Run4_130142298127654",6
"Run4_130142298336179",8
"Run4_130142298659099",6
"Run4_130142316947294",6
