"","t2","t3","t4","t5","t6"
"Run4_120703408880541",0.092,0.7,0.106,0.056,0.046
"Run4_120703409056541",0.164,0.372,0.04,0.31,0.114
"Run4_120703409580963",0.132,0.088,0.07,0.042,0.668
"Run4_120703423990708",0.014,0.088,0.01,0.014,0.874
"Run4_120703424252854",0.028,0.114,0.18,0.564,0.114
"Run4_120703436053366",0.302,0.52,0.054,0.07,0.054
"Run4_120703436057910",0.504,0.192,0.078,0.086,0.14
"Run4_120703436876077",0.046,0.302,0.156,0.42,0.076
"Run4_120703455025387",0.072,0.322,0.088,0.484,0.034
"Run4_120726911638237",0.132,0.47,0.052,0.208,0.138
"Run4_120726912355038",0.048,0.156,0.144,0.158,0.494
"Run4_120726924974443",0.018,0.162,0.158,0.046,0.616
"Run4_120726924978030",0.02,0.08,0.204,0.474,0.222
"Run4_120726943295348",0.018,0.1,0.03,0.008,0.844
"Run4_120726943845302",0.016,0.12,0.014,0.014,0.836
"Run4_120772961130853",0.04,0.514,0.104,0.222,0.12
"Run4_120772961168292",0.012,0.836,0.052,0.026,0.074
"Run4_120786758780660",0.022,0.36,0.112,0.44,0.066
"Run4_120786786086116",0.044,0.366,0.032,0.54,0.018
"Run4_120786804205803",0.022,0.12,0.096,0.648,0.114
"Run4_120786804401973",0.074,0.536,0.138,0.188,0.064
"Run4_120797898099934",0.014,0.05,0.244,0.012,0.68
"Run4_120797898946870",0.702,0.27,0.004,0.008,0.016
"Run4_120797925428019",0.024,0.058,0.068,0.736,0.114
"Run4_120797944278244",0.288,0.58,0.058,0.05,0.024
"Run4_120797944309486",0.394,0.518,0.032,0.032,0.024
"Run4_120797944462237",0.042,0.158,0.104,0.5,0.196
"Run4_120797944538971",0.17,0.664,0.052,0.07,0.044
"Run4_120797945018284",0.786,0.176,0.008,0.012,0.018
"Run4_120797945084765",0.062,0.106,0.272,0.418,0.142
"Run4_120864497952619",0.004,0.002,0.962,0.008,0.024
"Run4_120864498109163",0.016,0.072,0.036,0.864,0.012
"Run4_121202296155437",0.098,0.698,0.084,0.074,0.046
"Run4_121202296407845",0.016,0.148,0.096,0.712,0.028
"Run4_121202296712412",0.004,0.016,0.938,0.036,0.006
"Run4_121202296875939",0.104,0.488,0.118,0.204,0.086
"Run4_121202311609131",0.04,0.136,0.444,0.066,0.314
"Run4_121202323408629",0.04,0.052,0.04,0.022,0.846
"Run4_121202323971293",0.096,0.088,0.18,0.228,0.408
"Run4_121202324139420",0.016,0.05,0.826,0.038,0.07
"Run4_121276814544302",0.018,0.164,0.068,0.594,0.156
"Run4_121276814768869",0.02,0.046,0.106,0.792,0.036
"Run4_121319782803691",0.024,0.12,0.084,0.672,0.1
"Run4_121338017995180",0.192,0.49,0.092,0.132,0.094
"Run4_121339869292318",0.012,0.036,0.024,0.036,0.892
"Run4_121339869579045",0.062,0.59,0.08,0.196,0.072
"Run4_121339870034742",0.034,0.152,0.094,0.692,0.028
"Run4_121339884197670",0.106,0.612,0.104,0.106,0.072
"Run4_121339897375467",0.03,0.104,0.284,0.512,0.07
"Run4_121339915976030",0.084,0.424,0.098,0.27,0.124
"Run4_121742671661982",0.976,0.02,0,0.002,0.002
"Run4_121742672218843",0.006,0.046,0.196,0.652,0.1
"Run4_121742684731182",0.05,0.144,0.132,0.496,0.178
"Run4_121812464876332",0.038,0.056,0.172,0.608,0.126
"Run4_121812465170790",0.918,0.068,0,0.008,0.006
"Run4_121812477504803",0.04,0.07,0.054,0.63,0.206
"Run4_121812477659372",0.032,0.094,0.084,0.22,0.57
"Run4_121812478016931",0.134,0.752,0.048,0.026,0.04
"Run4_121812496309539",0.034,0.056,0.826,0.018,0.066
"Run4_121812496627629",0.014,0.056,0.214,0.492,0.224
"Run4_121826140407589",0.188,0.252,0.108,0.25,0.202
"Run4_121826154859894",0.022,0.618,0.04,0.202,0.118
"Run4_121826167679902",0.002,0.02,0.016,0.04,0.922
"Run4_121826168138163",0.07,0.582,0.06,0.242,0.046
"Run4_121826168195803",0.036,0.094,0.054,0.03,0.786
"Run4_121826187070251",0.048,0.284,0.124,0.426,0.118
"Run4_121879156964651",0.096,0.338,0.156,0.364,0.046
"Run4_121896068106075",0.012,0.06,0.028,0.014,0.886
"Run4_121896068373812",0.02,0.08,0.096,0.722,0.082
"Run4_121896095574750",0.014,0.044,0.49,0.022,0.43
"Run4_121896095603508",0.018,0.168,0.182,0.2,0.432
"Run4_121896114436398",0.02,0.094,0.808,0.006,0.072
"Run4_121955406802230",0.044,0.636,0.08,0.116,0.124
"Run4_121955407021878",0.112,0.706,0.048,0.072,0.062
"Run4_121955407285596",0.376,0.328,0.106,0.126,0.064
"Run4_121955419114358",0.022,0.4,0.124,0.36,0.094
"Run4_121955419114862",0.006,0.078,0.22,0.588,0.108
"Run4_121965741528803",0.902,0.07,0.008,0.01,0.01
"Run4_121965753884006",0.01,0.044,0.652,0.15,0.144
"Run4_121965754366373",0.012,0.044,0.026,0.034,0.884
"Run4_121965773241694",0.568,0.396,0.012,0.014,0.01
"Run4_122282776423132",0.068,0.27,0.37,0.116,0.176
"Run4_122282795515302",0.094,0.542,0.056,0.246,0.062
"Run4_122282795519324",0.018,0.054,0.078,0.732,0.118
"Run4_122282795812787",0.058,0.662,0.066,0.142,0.072
"Run4_122282795818213",0.022,0.03,0.126,0.76,0.062
"Run4_122293352294813",0.018,0.048,0.152,0.736,0.046
"Run4_122293366708085",0.024,0.316,0.12,0.462,0.078
"Run4_122293367462116",0.014,0.018,0.116,0.802,0.05
"Run4_122293367564598",0.514,0.414,0.03,0.022,0.02
"Run4_122293398198509",0.014,0.078,0.042,0.022,0.844
"Run4_122293399013212",0.082,0.338,0.142,0.146,0.292
"Run4_122308384450908",0.006,0.052,0.736,0.072,0.134
"Run4_122308399066019",0.022,0.056,0.208,0.628,0.086
"Run4_122308412463406",0.012,0.052,0.034,0.896,0.006
"Run4_122308430620398",0.172,0.228,0.296,0.192,0.112
"Run4_122310412323676",0.018,0.06,0.846,0.044,0.032
"Run4_122310412626206",0.016,0.08,0.046,0.024,0.834
"Run4_122310424910766",0,0.01,0.164,0.788,0.038
"Run4_122310444373789",0.11,0.26,0.178,0.418,0.034
"Run4_122428778498790",0.022,0.064,0.298,0.064,0.552
"Run4_122428793175326",0.306,0.564,0.026,0.092,0.012
"Run4_122428793187699",0.058,0.158,0.118,0.486,0.18
"Run4_122428823883116",0.018,0.048,0.028,0.774,0.132
"Run4_122428824140061",0.224,0.236,0.166,0.292,0.082
"Run4_122428824599908",0.008,0.038,0.848,0.092,0.014
"Run4_122436428412653",0.09,0.276,0.366,0.204,0.064
"Run4_122436428609325",0.158,0.604,0.096,0.076,0.066
"Run4_122436443094253",0.036,0.558,0.062,0.314,0.03
"Run4_122436443330286",0.028,0.084,0.014,0.012,0.862
"Run4_122436456212725",0.02,0.088,0.31,0.452,0.13
"Run4_122436474493213",0.044,0.066,0.128,0.06,0.702
"Run4_122436475018661",0.072,0.092,0.314,0.322,0.2
"Run4_122514677619036",0.068,0.324,0.082,0.298,0.228
"Run4_122514692500702",0.156,0.544,0.11,0.126,0.064
"Run4_122514723751852",0.018,0.048,0.044,0.02,0.87
"Run4_125042399558901",0.012,0.024,0.018,0.918,0.028
"Run4_125042400315742",0.076,0.162,0.032,0.538,0.192
"Run4_125042414278451",0.01,0.156,0.624,0.144,0.066
"Run4_125042414733164",0.694,0.28,0.014,0.008,0.004
"Run4_125042426763101",0.128,0.522,0.076,0.242,0.032
"Run4_125042445641635",0.002,0.036,0.208,0.054,0.7
"Run4_125197018315102",0.03,0.16,0.034,0.012,0.764
"Run4_125197033818014",0.026,0.078,0.51,0.082,0.304
"Run4_125197045586333",0,0,0,0,1
"Run4_125197046212445",0.03,0.026,0.116,0.568,0.26
"Run4_125197046434094",0.082,0.448,0.072,0.308,0.09
"Run4_125239714305827",0.79,0.192,0.002,0.004,0.012
"Run4_125239714765020",0,0,0,0,1
"Run4_125239745961379",0.024,0.082,0.042,0.036,0.816
"Run4_125239746509676",0.07,0.316,0.158,0.388,0.068
"Run4_125247350487987",0.088,0.8,0.068,0.018,0.026
"Run4_125247350523828",0.192,0.554,0.104,0.12,0.03
"Run4_125247364709155",0.008,0.03,0.064,0.86,0.038
"Run4_125247364970933",0.116,0.846,0.018,0.006,0.014
"Run4_125247377566965",0.024,0.06,0.054,0.82,0.042
"Run4_125677920545627",0.064,0.628,0.042,0.202,0.064
"Run4_125677920769780",0.036,0.166,0.046,0.724,0.028
"Run4_125677920967478",0.042,0.148,0.048,0.754,0.008
"Run4_125677920970611",0.026,0.042,0.126,0.708,0.098
"Run4_125677921254187",0.018,0.014,0.106,0.342,0.52
"Run4_125677921266413",0.156,0.5,0.058,0.228,0.058
"Run4_125677947799403",0.06,0.098,0.074,0.496,0.272
"Run4_125677966585070",0.144,0.488,0.1,0.148,0.12
"Run4_125677967206756",0.026,0.11,0.138,0.618,0.108
"Run4_125719945276334",0.096,0.282,0.148,0.418,0.056
"Run4_125719945333155",0.324,0.494,0.036,0.064,0.082
"Run4_125719976725363",0.084,0.464,0.176,0.206,0.07
"Run4_125719977541037",0.004,0.038,0.882,0.026,0.05
"Run4_125719977548197",0.012,0.036,0.794,0.026,0.132
"Run4_125728252684085",0.068,0.08,0.442,0.074,0.336
"Run4_125728252905323",0.036,0.304,0.132,0.488,0.04
"Run4_125728266829044",0.012,0.138,0.106,0.552,0.192
"Run4_125728267127014",0.01,0.064,0.06,0.016,0.85
"Run4_125728267327389",0.014,0.018,0.174,0.474,0.32
"Run4_125728298232628",0.016,0.024,0.11,0.312,0.538
"Run4_125745298098036",0.208,0.588,0.048,0.08,0.076
"Run4_125745298291501",0.032,0.448,0.084,0.37,0.066
"Run4_125745325263726",0.008,0.048,0.026,0.894,0.024
"Run4_125745343944941",0.028,0.074,0.138,0.72,0.04
"Run4_125745344199091",0.054,0.146,0.14,0.232,0.428
"Run4_126132128005486",0.012,0.048,0.106,0.716,0.118
"Run4_126132128200630",0.016,0.062,0.198,0.686,0.038
"Run4_126132128500452",0.04,0.27,0.098,0.494,0.098
"Run4_126132128800156",0.012,0.048,0.02,0.91,0.01
"Run4_126132141381982",0.076,0.158,0.038,0.566,0.162
"Run4_126132159462771",0.756,0.198,0.032,0.008,0.006
"Run4_126149051926902",0.05,0.242,0.05,0.544,0.114
"Run4_126149052745526",0.17,0.6,0.076,0.09,0.064
"Run4_126149071067430",0.074,0.15,0.192,0.208,0.376
"Run4_126149071162742",0.03,0.058,0.056,0.55,0.306
"Run4_126218818148142",0.026,0.06,0.028,0.876,0.01
"Run4_126218818710238",0.918,0.048,0.002,0.004,0.028
"Run4_126218832627933",0.15,0.224,0.118,0.324,0.184
"Run4_126218845501230",0.254,0.134,0.37,0.142,0.1
"Run4_126218845961141",0.036,0.432,0.102,0.286,0.144
"Run4_126218845964661",0.094,0.472,0.07,0.262,0.102
"Run4_126218864355163",0.002,0.032,0.056,0.004,0.906
"Run4_126218864650676",0.194,0.628,0.044,0.06,0.074
"Run4_126227542817590",0.052,0.53,0.098,0.268,0.052
"Run4_126227542919516",0.006,0.082,0.304,0.5,0.108
"Run4_126227557039341",0.01,0.136,0.196,0.478,0.18
"Run4_126227557046070",0.086,0.732,0.06,0.074,0.048
"Run4_126227557243316",0.01,0.026,0.358,0.13,0.476
"Run4_126227557275374",0.052,0.108,0.034,0.772,0.034
"Run4_126227569366820",0.036,0.098,0.12,0.518,0.228
"Run4_126227569392476",0.022,0.04,0.032,0.836,0.07
"Run4_126227569621427",0.064,0.218,0.48,0.2,0.038
"Run4_126227588246750",0.026,0.07,0.24,0.498,0.166
"Run4_126227588791004",0.02,0.148,0.782,0.03,0.02
"Run4_126227588802285",0.04,0.32,0.212,0.274,0.154
"Run4_126293980141348",0.128,0.51,0.14,0.088,0.134
"Run4_126293980661533",0.046,0.094,0.22,0.522,0.118
"Run4_126293994757531",0.064,0.872,0.03,0.018,0.016
"Run4_126293995272043",0.01,0.028,0.044,0.804,0.114
"Run4_126294007335772",0.012,0.068,0.076,0.02,0.824
"Run4_126294026566566",0.084,0.36,0.138,0.384,0.034
"Run4_126364042279838",0.002,0.022,0.068,0.884,0.024
"Run4_126364069050716",0.036,0.086,0.074,0.032,0.772
"Run4_126364069287782",0.002,0.08,0.062,0.022,0.834
"Run4_126364087696755",0.04,0.118,0.048,0.77,0.024
"Run4_126364087900021",0.006,0.064,0.814,0.036,0.08
"Run4_126364087905005",0.058,0.04,0.224,0.618,0.06
"Run4_126364087905510",0.022,0.238,0.15,0.516,0.074
"Run4_126364088155371",0.022,0.054,0.408,0.318,0.198
"Run4_126680929782694",0.006,0.044,0.042,0.05,0.858
"Run4_126680929789814",0.012,0.028,0.158,0.266,0.536
"Run4_126680944201140",0.016,0.076,0.19,0.382,0.336
"Run4_126680957369771",0,0,0,0,1
"Run4_126680975730542",0.02,0.058,0.2,0.652,0.07
"Run4_126680975759790",0.084,0.162,0.048,0.41,0.296
"Run4_126680975988467",0.024,0.074,0.102,0.26,0.54
"Run4_126680976217949",0.004,0.064,0.874,0.028,0.03
"Run4_126681601142061",0.012,0.076,0.084,0.816,0.012
"Run4_126681615616421",0.006,0.408,0.062,0.448,0.076
"Run4_126681627872157",0.008,0.014,0.154,0.782,0.042
"Run4_126681646815132",0.042,0.082,0.136,0.69,0.05
"Run4_126681647049453",0.05,0.6,0.098,0.15,0.102
"Run4_126706324032926",0.05,0.22,0.108,0.44,0.182
"Run4_126706324223852",0.026,0.04,0.062,0.84,0.032
"Run4_126706324232987",0.024,0.046,0.05,0.758,0.122
"Run4_126706324233525",0.002,0.02,0.03,0.014,0.934
"Run4_126706343636326",0.006,0.02,0.5,0.226,0.248
"Run4_126707773105894",0.604,0.272,0.052,0.038,0.034
"Run4_126707788531571",0.18,0.606,0.082,0.074,0.058
"Run4_126707800401843",0.838,0.118,0.028,0.012,0.004
"Run4_126707800665315",0.062,0.298,0.216,0.182,0.242
"Run4_126707819506413",0.858,0.128,0.002,0.004,0.008
"Run4_126707819833054",0.03,0.036,0.016,0.904,0.014
"Run4_126765621266222",0.084,0.5,0.144,0.226,0.046
"Run4_126765621271260",0.024,0.094,0.688,0.036,0.158
"Run4_126765648702707",0.008,0.046,0.036,0.028,0.882
"Run4_126765667137964",0.044,0.13,0.218,0.368,0.24
"Run4_126776224102750",0.244,0.676,0.026,0.04,0.014
"Run4_126776224472427",0.006,0.072,0.054,0.012,0.856
"Run4_126776224631582",0.896,0.076,0.002,0.002,0.024
