"","Trajectory","trends","ci"
"Run4_120703409056541",0.123602515478687,-0.555668015327779,0.0377881513674678
"Run4_120703424252854",0.89773835295458,-0.549358779010011,0.0436346623707075
"Run4_120703436876077",0.352871846121387,-0.470810332150209,0.0428219460962695
"Run4_120703455025387",0.642688434723303,-0.485620243905413,0.0332258742787501
"Run4_120726911638237",0.703681467309319,-0.499699404710655,0.0332426192300058
"Run4_120726924974443",0.828817035330153,-0.532416346075987,0.0388773403139131
"Run4_120726924978030",0.634124133253699,-0.483978722661529,0.0335586900884579
"Run4_120772961130853",0.437999477158392,-0.470746804906707,0.0460553370654184
"Run4_120786758780660",0.531669048873913,-0.471645734694639,0.0384003220476191
"Run4_120786786086116",0.388919723742958,-0.469937874411826,0.0442426916949617
"Run4_120786804205803",0.709626060877145,-0.501295949062104,0.0333588506694934
"Run4_120786804401973",0.643864863723078,-0.485851493914372,0.0331916485846254
"Run4_120797898099934",0.861337893125553,-0.540632948198486,0.0412098329297712
"Run4_120797925428019",0.544968244953476,-0.472210495824569,0.0377928092982343
"Run4_120797944462237",0.465692682325997,-0.471054945565902,0.0446771526820849
"Run4_120797945084765",0.329858796591952,-0.472641320834903,0.0426470181993982
"Run4_120864497952619",1.35158311283985,-0.613544031260055,0.060606827861537
"Run4_121202296712412",1.5227601085118,-0.615124015501436,0.0663624240299962
"Run4_121202296875939",0.127570177296745,-0.553116155510694,0.0374040038781993
"Run4_121202324139420",1.17204146694037,-0.598003065139065,0.0561228223579571
"Run4_121276814544302",0.56398895036154,-0.473530008449617,0.0372737089605694
"Run4_121276814768869",0.422062573509229,-0.470386955502825,0.0457958549332005
"Run4_121319782803691",0.573008124532711,-0.474409813478186,0.0370571256305244
"Run4_121338017995180",0.258813203054005,-0.488251292754473,0.0421895419250966
"Run4_121339869579045",0.0624683364690925,-0.599858657875423,0.0521892696213779
"Run4_121339884197670",0.298033003331404,-0.477483296804004,0.0429604424358661
"Run4_121339897375467",0.539844579310076,-0.471962258849991,0.0379943207669046
"Run4_121339915976030",0.705368332438406,-0.50015071175727,0.0332724544565779
"Run4_121742672218843",0.546922703598724,-0.472316191683896,0.0377251937135906
"Run4_121742684731182",0.540310465780219,-0.471983164335048,0.0379744318012635
"Run4_121812464876332",0.687452748178417,-0.495490574974141,0.0330768864020453
"Run4_121812477504803",0.714429647881478,-0.502593974557482,0.0334741730724133
"Run4_121812477659372",0.640296218038871,-0.485154341886999,0.0333040212687961
"Run4_121812496309539",1.42632733378325,-0.615883603641932,0.062564186154219
"Run4_121812496627629",0.739884063453715,-0.509324372797519,0.0342294142209489
