"","Trajectory","trends","ci"
"Run4_120703408880541",1.18317615237852,-0.571514385786832,0.0578739026133498
"Run4_120703409056541",0.123554742930016,0.160770695491782,0.0510835923044198
"Run4_120703436053366",1.06992790931589,-0.517508143133172,0.0610326383856746
"Run4_120703436057910",0.822800144674008,-0.372778996752776,0.0786179249218568
"Run4_120703436876077",0.300987431595469,0.115832037795961,0.0803325925719236
"Run4_120772961168292",1.06440202656379,-0.514677108138329,0.0611549568150164
"Run4_120797898946870",1.55379904303796,-0.895806974168491,0.0630880327458006
"Run4_120797944278244",1.21514464946404,-0.584366012413769,0.0568300852488689
"Run4_120797944309486",1.18412705578413,-0.571868676388586,0.057840277302705
"Run4_120797944538971",1.11532623110483,-0.540226787070853,0.0600198096387186
"Run4_120797945018284",1.75614981215463,-1.25219429380823,0.103999257917948
"Run4_120797945084765",0.298501816200769,0.118101083439339,0.0797704158965288
"Run4_121202296155437",1.22236903011098,-0.58814873690807,0.0566114120486144
"Run4_121202296875939",0.127499605398734,0.162189240827573,0.0506765734879492
"Run4_121338017995180",0.291702245145773,0.124085529926757,0.0782155660598485
"Run4_121339869579045",0.0624292837625554,0.125670349920349,0.0685979193423725
"Run4_121339884197670",0.2906711402597,0.124963340867534,0.077977644824566
"Run4_121742671661982",1.8335533639602,-1.42336781442927,0.129176552690215
"Run4_121812465170790",1.79371709297384,-1.33282195501913,0.115588083909475
"Run4_121812478016931",1.2495732241518,-0.604303728564955,0.0558239445631824
"Run4_121826154859894",0.110571934208169,0.155399339680163,0.0530743406761238
"Run4_121879156964651",0.104828226138378,0.152681278110804,0.0542718202192958
"Run4_121955407021878",1.1435739543717,-0.553916277001335,0.0592499337789682
"Run4_121955407285596",0.10902037833502,0.154685683537127,0.0533788668079687
"Run4_121965741528803",1.7220867203307,-1.18305053146771,0.094543420999651
"Run4_121965773241694",1.42779489073987,-0.739739458195863,0.0549641149768894
"Run4_122282776423132",0.331032049246183,0.0855153298346308,0.0868551836121105
"Run4_122282795515302",0.31812600266903,0.0991293349779726,0.0841159004091165
"Run4_122282795812787",0.404086238833325,0.0010586545287977,0.100463306989046
"Run4_122293367564598",1.23954296771513,-0.598288940081382,0.0561030889666039
"Run4_122310444373789",0.0254420074091336,0.0897955934469916,0.0876361902935779
"Run4_122428793175326",1.23671121222316,-0.596602165784142,0.0561844447130568
"Run4_122428824140061",0.179777082150612,0.169972138819014,0.0529257075088561
"Run4_122436428412653",0.171856761930048,0.170282150111578,0.0518304883085196
