"","Trajectory","trends","ci"
"Run4_120703408880541",1.18317615237852,-0.611904003793538,0.025720673607257
"Run4_120703409056541",0.123554742930016,-0.666324764623197,0.0227028823877014
"Run4_120703436053366",1.06992790931589,-0.616422587703357,0.0271244982698916
"Run4_120703436057910",0.822800144674008,-0.627166774657244,0.034939858818653
"Run4_120703436876077",0.300987431595469,-0.65064898943639,0.0357019018981898
"Run4_120772961168292",1.06440202656379,-0.616649079739321,0.0271788597740444
"Run4_120797898946870",1.55379904303796,-0.616429372478164,0.0280379691969205
"Run4_120797944278244",1.21514464946404,-0.610612713616171,0.025256773912834
"Run4_120797944309486",1.18412705578413,-0.611861991736183,0.0257057296411344
"Run4_120797944538971",1.11532623110483,-0.614595135760463,0.0266743707263156
"Run4_120797945018284",1.75614981215463,-0.638666972545605,0.0462199859956819
"Run4_120797945084765",0.298501816200769,-0.65079931852327,0.0354520559032852
"Run4_121202296155437",1.22236903011098,-0.610404946635968,0.0251595898323344
"Run4_121202296875939",0.127499605398734,-0.665867184004166,0.0225219925970061
"Run4_121338017995180",0.291702245145773,-0.651220244832825,0.0347610400334081
"Run4_121339869579045",0.0624292837625554,-0.674056021572395,0.030486706682454
"Run4_121339884197670",0.2906711402597,-0.651285343579934,0.0346553016235099
"Run4_121742671661982",1.8335533639602,-0.65116675890351,0.0574094332579061
"Run4_121812465170790",1.79371709297384,-0.644449267765402,0.0513703628902686
"Run4_121812478016931",1.2495732241518,-0.609818662496629,0.0248096187183344
"Run4_121826154859894",0.110571934208169,-0.667864438744307,0.0235876229493474
"Run4_121879156964651",0.104828226138378,-0.668562218688083,0.0241198141286267
"Run4_121955407021878",1.1435739543717,-0.613490347088518,0.0263322177901461
"Run4_121955407285596",0.10902037833502,-0.668051922456385,0.0237229623145599
"Run4_121965741528803",1.7220867203307,-0.633881342887202,0.0420175651448911
"Run4_121965773241694",1.42779489073987,-0.609910037695423,0.0244274879970893
"Run4_122282776423132",0.331032049246183,-0.648968521164244,0.0386007116836486
"Run4_122282795515302",0.31812600266903,-0.649660981656623,0.0373833026961683
"Run4_122282795812787",0.404086238833325,-0.645657759592603,0.0446485170670841
"Run4_122293367564598",1.23954296771513,-0.610022654638421,0.0249336777806316
"Run4_122310444373789",0.0254420074091336,-0.679438585159102,0.038947811447653
"Run4_122428793175326",1.23671121222316,-0.610082732583534,0.0249698343988326
"Run4_122428824140061",0.179777082150612,-0.660300582453632,0.0235215664884924
"Run4_122436428412653",0.171856761930048,-0.661078564655282,0.0230348224759371
"Run4_122436428609325",1.17818114992813,-0.612123302120265,0.0258000768786896
"Run4_122436443094253",0.141258793613976,-0.664308300367747,0.0222048979181369
"Run4_122514692500702",0.169540343434281,-0.661310298001441,0.0229104302809717
"Run4_125042414733164",1.30956546212956,-0.60895340406304,0.024235721429522
"Run4_125042426763101",0.0706135770336904,-0.672939063279284,0.0289488670978414
"Run4_125197046434094",0.163818648184413,-0.661891255760117,0.0226414427341817
"Run4_125239714305827",1.81663043217697,-0.648238851687889,0.0547721495962391
"Run4_125239746509676",0.18235240090592,-0.660052211290295,0.0236987362965868
"Run4_125247350487987",1.28064646691517,-0.609286379871963,0.0244719104390546
"Run4_125247350523828",1.15228209886946,-0.613155132214378,0.0262094929059456
"Run4_125247364970933",1.20888933247777,-0.610827542965876,0.0253419379159622
"Run4_125677920545627",0.0634098538596525,-0.673920599946576,0.0302953432117934
"Run4_125677921266413",0.0757064830009828,-0.672259862819069,0.0280622057545519
"Run4_125677966585070",0.454528236617388,-0.64357158207063,0.0474382958939158
"Run4_125719945333155",1.24232575104733,-0.609964657185232,0.0248986180494686
"Run4_125728252905323",0.259682902935738,-0.653411076438466,0.031371532248706
"Run4_125728266829044",0.246001764721317,-0.654463580957137,0.0298709585839666
"Run4_125745298098036",1.18110796788989,-0.611995170573094,0.0257533781241658
"Run4_126132128500452",0.260371209644702,-0.653360073803198,0.0314464152857094
"Run4_126132159462771",1.39666458076225,-0.609226950889839,0.0241570670531287
"Run4_126149052745526",1.17480248747826,-0.61226911122068,0.0258544596584997
"Run4_126218818710238",1.84565622404315,-0.653328406283116,0.0593600422918359
"Run4_126218832627933",0.162672268338258,-0.662009161204817,0.0225944439293121
"Run4_126218845501230",0.315446925838085,-0.649810065191521,0.037125291900957
"Run4_126218845961141",0.257644721632692,-0.653563175834775,0.0311493871199541
"Run4_126218845964661",0.208448294175432,-0.657647087829583,0.0259041223623729
"Run4_126218864650676",1.19094699662539,-0.611561294071206,0.0256005236341404
"Run4_126227542817590",0.145354401447449,-0.663855350474573,0.0222012229963615
"Run4_126227557046070",0.533198204053334,-0.640199327642824,0.0487348631140532
"Run4_126293980141348",1.19135937678339,-0.61154325796085,0.0255942822781095
"Run4_126293994757531",0.822800144674008,-0.627166774657244,0.034939858818653
"Run4_126681615616421",0.173311494502619,-0.66093402581815,0.023117261554683
"Run4_126706324223852",0.219411234359238,-0.656688205885414,0.0269963350102766
"Run4_126707773105894",1.23578772844666,-0.610102551157731,0.0249817275498019
"Run4_126707788531571",1.16709162482968,-0.612587962555094,0.0259794223087753
"Run4_126707800401843",1.54747851985828,-0.615969178429559,0.0277319860400336
"Run4_126707819506413",1.58774128535853,-0.619138191536984,0.0299439778570477
"Run4_126776224102750",1.18868365501697,-0.611660707719899,0.0256350314602051
"Run4_126776224631582",1.57970713675084,-0.618460681436713,0.02945214409014
"Run4_126776238855982",1.08075062674438,-0.615981455253585,0.0270201656793143
"Run4_126776251899293",0.18247810261019,-0.660040143901912,0.0237076054613764
"Run4_126776270318502",1.11895248846318,-0.614451863055365,0.0266345140184071
"Run4_126834220845997",0.170455837180445,-0.661218478509698,0.0229585655207618
"Run4_126834220883372",0.0396682473791041,-0.677310267320006,0.0354273694142933
"Run4_126834234285342",0.108070224233531,-0.66816710348376,0.0238089313314679
"Run4_126834252307822",0.151685738255172,-0.663165982597297,0.022272069383529
"Run4_126834252630899",0.822800144674008,-0.627166774657244,0.034939858818653
"Run4_126835160693155",1.1413645180608,-0.61357580912618,0.0263619282046613
"Run4_126836622191451",0.0887355300007114,-0.670572033265426,0.0260525640325298
"Run4_126836636804846",0.138381473020327,-0.664629544083451,0.0222317759734874
"Run4_126836650134317",1.19742110557324,-0.61128244430072,0.0255042170901271
"Run4_126836669073710",0.916840578429935,-0.622959781428629,0.030290025251461
"Run4_126885773306787",1.29704538077727,-0.609076174725851,0.0243275612573188
"Run4_126885792795486",0.106819042207297,-0.668319203307637,0.0239257019915258
"Run4_129457506867427",1.16269355184025,-0.612757801626629,0.0260503472712684
"Run4_129457538329326",1.81234443591159,-0.647514755886428,0.0541209957654305
"Run4_129457538349940",1.10093076053345,-0.615167947661723,0.0268240493865092
"Run4_129497354684213",0.0382520127576708,-0.677519189344516,0.035764065668482
"Run4_129497381947316",0.0436019013996718,-0.676733663690402,0.034509122633337
"Run4_129497382151987",0.289229126108295,-0.65137695680655,0.0345070113573857
"Run4_129582985309044",0.0344750525917545,-0.67807967826512,0.0366773309667914
"Run4_129582985592221",0.131120235847286,-0.66545139555411,0.022391728335919
"Run4_129583032002916",0.105670538662177,-0.668459248812503,0.0240364432288133
"Run4_129663530919645",0.273553703026883,-0.65241755399275,0.0328651578895901
"Run4_129663543921453",1.22829938644664,-0.610267205898018,0.0250799289088509
"Run4_129978418219877",1.19018064697673,-0.611594880842458,0.0256121602316045
"Run4_130057594071836",0.625264713393448,-0.636118056079675,0.0464371355280116
"Run4_130057607240948",1.74877258132389,-0.637593831601497,0.0452717599102342
"Run4_130126433146612",1.27980122177493,-0.609298636220856,0.0244800381441632
"Run4_130126433671915",0.233890451240525,-0.655457745700918,0.0285352176911309
"Run4_130126448081643",1.24596887299737,-0.609890337697748,0.0248534525857452
"Run4_130126460111589",1.18074548834516,-0.612011105909636,0.0257591367130049
"Run4_130126460635380",0.176724012857669,-0.660597901522516,0.0233231724279339
"Run4_130126479550812",0.139266413679004,-0.664530476633541,0.0222213409928586
"Run4_130142270581557",0.060708847465206,-0.674294642018682,0.0308270138092074
"Run4_130142271298979",0.0611193493078917,-0.674237589235279,0.0307452916715162
"Run4_130142286047156",0.0558386314438279,-0.67497700690583,0.0318211552024994
"Run4_130142298069875",0.139070347587489,-0.664552405428035,0.0222234859794163
"Run4_130142298126126",0.263385488179509,-0.653138851913492,0.0317734837389202
"Run4_130142298127654",1.78946390900021,-0.643767844908074,0.0507604928249522
"Run4_130142298659099",1.837677494483,-0.651896998928392,0.0580680959340729
"Run4_130142316947294",1.24987015994824,-0.609812841840583,0.0248060463879053
"Run4_130142317537517",0.272591935415675,-0.652484167329741,0.0327627343882401
"Run4_130144686946166",1.76606444079794,-0.640141348810565,0.0475272088599197
"Run4_130144713726813",0.0532051506450593,-0.675350093351575,0.0323771823847677
"Run4_130184146991460",0.104713647729148,-0.668576242555027,0.0241312953325079
"Run4_130184147004718",0.0415355409531336,-0.677035870801199,0.0349883412268356
"Run4_130184147257766",1.13793724241075,-0.613708703107931,0.0264069232587424
"Run4_130184174557939",1.21503905382369,-0.610616092855147,0.0252581996561801
"Run4_130184192936371",0.170522331696286,-0.661211821399337,0.0229621143938847
"Run4_130185534827748",0.286662620763536,-0.651541678002764,0.0342419015273165
"Run4_130194227747676",1.17867053816622,-0.612101974165189,0.0257922382556056
"Run4_130203904260851",0.221257050721298,-0.656529237932254,0.0271871173434635
"Run4_130529100774814",0.174489688328744,-0.660817515409153,0.023186400423436
"Run4_130529113819493",0.184678318608299,-0.659829747288698,0.0238660770887935
"Run4_130529132926812",1.17097825093728,-0.612430155148854,0.0259163900965018
"Run4_130624783240604",1.384629838513,-0.609054158425695,0.024099913109988
"Run4_130624798276324",1.60332322499989,-0.620516853191147,0.030971126520116
"Run4_130624798508909",0.309625908570212,-0.650140687146296,0.0365584949036482
