"","curve1","curve2","curve3","curve4"
"1",0,0,1,0
"2",1,1,1,1
"3",1,0,0,0
"4",1,0,0,0
"5",0.283060997210837,1,0,0
"6",0,0,1,0
"7",0,0,1,0
"8",1,1,0.269616436806211,1
"9",1,0.962485027876195,0,0.718437453435601
"10",1,0.948613069372205,0,0
"11",1,0,0,0
"12",0.979212596402084,1,0,0
"13",1,1,0,0.795006712996354
"14",1,0,0,0
"15",1,0,0,0
"16",1,1,0,1
"17",0,0,1,0
"18",1,1,0,1
"19",1,1,0,1
"20",0.98397391779546,1,0,0
"21",0.962151028213265,1,0,0.956483366108667
"22",0.788039298267638,1,0,0
"23",0,0,1,0
"24",1,1,0,1
"25",0,0,1,0
"26",0,0,1,0
"27",1,1,0,1
"28",0,0,1,0
"29",0,0,1,0
"30",0.984492841215501,0.972983574032017,0.506360619225326,1
"31",0,1,0,0
"32",0,0,0,1
"33",0,0,1,0
"34",0,0,0,1
"35",0,1,0,0
"36",1,1,1,1
"37",1,0,0,0
"38",1,0,0,0
"39",1,0,0,0
"40",0,1,0,0
"41",1,1,0,1
"42",0.9746692413569,0.962361557114293,0,1
"43",1,1,0,0.903301879693806
"44",0.62994391472599,0.628796725569337,1,0.635921812291066
"45",1,0,0,0
"46",1,1,1,1
"47",0,0,0,1
"48",0.990772207164518,0.989991273628985,0.880672339571271,1
"49",0.941981679754144,0.904113237096938,0,1
"50",0.971945392797575,1,0,0
"51",0,0,1,0
"52",1,1,0,1
"53",1,1,0,0.916108170051427
"54",1,0.977072330495199,0,0
"55",0,0,1,0
"56",0.972804666108103,1,0,0
"57",1,1,0,0.815039633733541
"58",0,0,1,0
"59",0,1,0,0
"60",1,0.988659787778679,0,0
"61",1,1,0,1
"62",1,1,1,1
"63",1,0,0,0
"64",1,1,0,1
"65",1,0,0,0
"66",1,1,0,1
"67",1,1,1,1
"68",1,0,0,0
"69",0.614361865616233,1,0,0
"70",1,0,0,0
"71",1,0.896252241191941,0,0
"72",0,1,0,0
"73",0.999839317379855,0.995738405659746,0,1
"74",0,0,1,0
"75",1,1,1,1
"76",1,1,0,1
"77",1,1,0,1
"78",0,0,1,0
"79",1,0.856755686388183,0,0
"80",1,0,0,0
"81",0,0,1,0
"82",0.97852875125628,0.976180965205886,0.952171639102395,1
"83",1,1,0.463619017448988,1
"84",1,0.963615754229039,0,0.695348799717542
"85",1,0.989711287502716,0.472889966463515,0.9821784654463
"86",0,0,0,1
"87",0.999102600974102,1,0,0.91126122589271
"88",1,1,0,1
"89",1,1,0,1
"90",0,0,1,0
"91",1,0,0,0
"92",1,0.432398728161445,0,0
"93",1,0.469359150923066,0,0
"94",1,0.964323042463343,0,0
"95",0,0,0,1
"96",0.918408016894066,0.896018855943851,0,1
"97",0,1,0,0
"98",1,0.749443282598746,0,0
"99",1,0.964845291920918,0,0.616529317751865
"100",1,1,1,1
"101",1,0,0,0
"102",0,0,1,0
"103",1,0.958182427663587,0,0
"104",1,1,0,1
"105",1,1,1,1
"106",0,1,0,0
"107",1,1,1,1
"108",0,0,1,0
"109",1,1,1,1
"110",1,0,0,0
"111",1,0.959365136097777,0,0.609241013293516
"112",1,0,0,0
"113",1,1,0,0.834210089191604
"114",1,1,0,1
"115",1,1,1,1
"116",1,0,0,0
"117",1,0.993235565074058,0,0.698502154524978
"118",1,1,0,0.820287465060723
"119",0,1,0,0
"120",0,0,1,0
"121",1,1,1,1
"122",1,0.937114132963061,0,0
"123",0.87856007414052,1,0,0
"124",1,0.25756739361753,0,0
"125",1,0,0,0
"126",0.896800581403761,1,0,0
"127",1,1,1,1
"128",0,0,1,0
"129",1,0,0,0
"130",1,0,0,0
"131",1,1,1,1
"132",0,0,1,0
